REF_DATE,year_end,component,val
2019/2020,2020,Births,43103
2019/2020,2020,Deaths,39164
2019/2020,2020,Immigrants,44795
2019/2020,2020,Net emigration,7141
2019/2020,2020,Emigrants,15552
2019/2020,2020,Returning emigrants,8411
2019/2020,2020,Net temporary emigration,NA
2019/2020,2020,Net non-permanent residents,603
2019/2020,2020,"Non-permanent residents, inflows",NA
2019/2020,2020,"Non-permanent residents, outflows",NA
2019/2020,2020,Net interprovincial migration,16999
2019/2020,2020,Residual deviation,5884
2020/2021,2021,Births,42902
2020/2021,2021,Deaths,42787
2020/2021,2021,Immigrants,34383
2020/2021,2021,Net emigration,5513
2020/2021,2021,Emigrants,11959
2020/2021,2021,Returning emigrants,6446
2020/2021,2021,Net temporary emigration,NA
2020/2021,2021,Net non-permanent residents,-8845
2020/2021,2021,"Non-permanent residents, inflows",NA
2020/2021,2021,"Non-permanent residents, outflows",NA
2020/2021,2021,Net interprovincial migration,25376
2020/2021,2021,Residual deviation,5048
2021/2022,2022,Births,43013
2021/2022,2022,Deaths,45727
2021/2022,2022,Immigrants,83222
2021/2022,2022,Net emigration,9733
2021/2022,2022,Emigrants,18180
2021/2022,2022,Returning emigrants,8447
2021/2022,2022,Net temporary emigration,NA
2021/2022,2022,Net non-permanent residents,35336
2021/2022,2022,"Non-permanent residents, inflows",133360
2021/2022,2022,"Non-permanent residents, outflows",98024
2021/2022,2022,Net interprovincial migration,26069
2022/2023,2023,Births,41210
2022/2023,2023,Deaths,45508
2022/2023,2023,Immigrants,66280
2022/2023,2023,Net emigration,13669
2022/2023,2023,Emigrants,22462
2022/2023,2023,Returning emigrants,8793
2022/2023,2023,Net non-permanent residents,104750
2022/2023,2023,"Non-permanent residents, inflows",188321
2022/2023,2023,"Non-permanent residents, outflows",83571
2022/2023,2023,Net interprovincial migration,3388
2023/2024,2024,Births,42718
2023/2024,2024,Deaths,44487
2023/2024,2024,Immigrants,63606
2023/2024,2024,Net emigration,14797
2023/2024,2024,Emigrants,24287
2023/2024,2024,Returning emigrants,9490
2023/2024,2024,Net non-permanent residents,112905
2023/2024,2024,"Non-permanent residents, inflows",211140
2023/2024,2024,"Non-permanent residents, outflows",98235
2023/2024,2024,Net interprovincial migration,-4127
2024/2025,2025,Births,44371
2024/2025,2025,Deaths,43902
2024/2025,2025,Immigrants,56203
2024/2025,2025,Net emigration,15246
2024/2025,2025,Emigrants,25023
2024/2025,2025,Returning emigrants,9777
2024/2025,2025,Net non-permanent residents,-12612
2024/2025,2025,"Non-permanent residents, inflows",115407
2024/2025,2025,"Non-permanent residents, outflows",128019
2024/2025,2025,Net interprovincial migration,-2392
