status,year,total_pop,median_age,sex_ratio
Estimate,1971,2240.5,27.8,102.3
Estimate,1972,2302.1,27.9,102.1
Estimate,1973,2367.3,28.1,101.8
Estimate,1974,2442.6,28.2,101.6
Estimate,1975,2499.6,28.5,101.4
Estimate,1976,2533.9,28.9,100.9
Estimate,1977,2570.3,29.3,100.6
Estimate,1978,2615.2,29.7,100.4
Estimate,1979,2665.2,30.1,100
Estimate,1980,2745.9,30.4,100
Estimate,1981,2826.6,30.6,100
Estimate,1982,2876.5,31,99.9
Estimate,1983,2907.5,31.4,99.7
Estimate,1984,2947.2,31.8,99.5
Estimate,1985,2975.1,32.3,99.3
Estimate,1986,3003.6,32.8,99.1
Estimate,1987,3048.7,33.2,99
Estimate,1988,3114.8,33.5,98.9
Estimate,1989,3196.7,33.8,98.9
Estimate,1990,3292.1,34.1,99
Estimate,1991,3373.8,34.4,99.4
Estimate,1992,3468.8,34.6,99.2
Estimate,1993,3567.8,34.9,99.2
Estimate,1994,3676.1,35.1,99.4
Estimate,1995,3777.4,35.4,99.5
Estimate,1996,3874.3,35.7,99.2
Estimate,1997,3948.6,36,99.1
Estimate,1998,3983.1,36.5,98.9
Estimate,1999,4011.4,37,98.7
Estimate,2000,4039.2,37.5,98.6
Estimate,2001,4076.9,37.9,98.5
Estimate,2002,4100.5,38.4,98.4
Estimate,2003,4124.4,38.9,98.3
Estimate,2004,4155.6,39.4,98.2
Estimate,2005,4196.1,39.8,98.2
Estimate,2006,4241.8,40.1,98.2
Estimate,2007,4291,40.3,98.3
Estimate,2008,4349.3,40.5,98.5
Estimate,2009,4410.5,40.6,98.7
Estimate,2010,4465.6,40.8,98.8
Estimate,2011,4503.8,41.1,98.7
Estimate,2012,4570.9,41.4,98.6
Estimate,2013,4634.9,41.7,98.5
Estimate,2014,4712.7,41.9,98.3
Estimate,2015,4765.5,42.2,98
Estimate,2016,4861.3,42.2,98
Estimate,2017,4934.2,42.1,98.1
Estimate,2018,5021,41.9,98.2
Estimate,2019,5111,41.7,98.4
Estimate,2020,5176.1,41.7,98.4
Estimate,2021,5226.7,41.8,98.4
Estimate,2022,5357.5,41.5,98.2
Estimate,2023,5531.6,41.1,98.4
Estimate,2024,5698.4,40.9,98.4
Projection,2025,5697.5,41.4,98.1
Projection,2026,5653.4,42.1,97.8
Projection,2027,5677.1,42.4,97.6
Projection,2028,5735.6,42.6,97.5
Projection,2029,5799.7,42.8,97.4
Projection,2030,5864.5,42.9,97.2
Projection,2031,5929.3,43.1,97.1
Projection,2032,5993.7,43.3,97
Projection,2033,6057.2,43.5,97
Projection,2034,6119.7,43.7,96.9
Projection,2035,6181.1,44,96.8
Projection,2036,6241.2,44.2,96.7
Projection,2037,6300.1,44.4,96.6
Projection,2038,6357.7,44.6,96.6
Projection,2039,6414,44.9,96.5
Projection,2040,6469,45.1,96.4
Projection,2041,6522.8,45.4,96.4
Projection,2042,6575.5,45.6,96.3
Projection,2043,6627.3,45.8,96.3
Projection,2044,6678.2,46,96.3
Projection,2045,6728.4,46.2,96.2
Projection,2046,6778,46.4,96.2
