year,age_0_14,age_15_64,age_65p,total,pct_working_age,pct_seniors,dep_old
2000,5883491,20950986,3851253,30685730,0.6827599017523781,0.12550631840924104,0.18382204064286042
2001,5850644,21248389,3921822,31020855,0.6849710944459784,0.12642533547189463,0.1845703220135889
2002,5826938,21543063,3989198,31359199,0.6869774639333103,0.12720981808240703,0.18517320401467516
2003,5792791,21789297,4060373,31642461,0.688609428956869,0.12832039202007708,0.18634713180512433
2004,5753257,22049746,4135804,31938807,0.6903747531960102,0.1294914991658893,0.18756696789160293
2005,5699488,22329731,4213513,32242732,0.692550835952735,0.1306810167327012,0.18869519744774355
2006,5648488,22603851,4318854,32571193,0.6939829007798394,0.13259735374138737,0.19106717700448478
2007,5623741,22844198,4420947,32888886,0.6945871623623859,0.13442069761803424,0.1935260322993173
2008,5620502,23086384,4540412,33247298,0.694383766163494,0.13656484205122474,0.19667055698285188
2009,5625650,23335848,4668571,33630069,0.6938983086832203,0.13882133277811592,0.2000600535279455
2010,5626301,23576103,4803498,34005902,0.6932944463581645,0.1412548327640302,0.20374435927769743
2011,5626970,23757096,4955155,34339221,0.6918356126948833,0.14430015753706235,0.20857578720900904
2012,5661136,23897528,5154731,34713395,0.6884238202572811,0.14849400353955583,0.21570143154555568
2013,5705818,24022538,5352636,35080992,0.6847736232772437,0.15257937973931865,0.2228172560284846
2014,5753970,24138208,5541888,35434066,0.6812147383819853,0.15640000218998293,0.22958986847739485
2015,5795266,24187525,5721707,35704498,0.6774363554978423,0.16025171394371657,0.23655611725465917
2016,5868008,24323110,5919685,36110803,0.6735687932500422,0.16393113717244118,0.24337697769734215
2017,5927672,24491920,6125483,36545075,0.6701838756658729,0.16761445967753522,0.2501021969694495
2018,5997582,24737598,6337440,37072620,0.6672740691108424,0.17094664472055118,0.256186554571709
2019,6052910,24992326,6573259,37618495,0.664362729024646,0.1747347680974478,0.2630110938853791
2020,6097349,25121768,6809521,38028638,0.6606013078880185,0.17906297354115075,0.2710605798126947
2021,6089464,25104410,7045990,38239864,0.6564984122328469,0.1842577159793246,0.2806674205846702
2022,6124521,25526667,7298944,38950132,0.6553679201908738,0.18739202218878231,0.2859340782719499
2023,6182292,26304672,7562124,40049088,0.6568107618330784,0.1888213784044221,0.2874821628644524
2024,6258243,27168360,7835726,41262329,0.6584301143059569,0.18990023563623856,0.28841365470716673
2025,6261162,27282024,8108467,41651653,0.6550045924948045,0.19467335426039395,0.2972091440136553
